SiteNumber,SampleNumber,SiteLocation,BedLocation,GridReference,DateCollected,Species,PSP,DSP,ASP
2,491,River Blyth,,,2001-04-02,Mussels,ND,NG,ND
7,501,River Thames,,TQ 873 846,2001-04-03,Mussels,ND,NG,ND
,489,River Thames,Swale Site 6,,2001-04-02,Mussels,ND,NG,ND
12,494,Isle of Wight,Medina,SZ 505 935,2001-03-26,N.Oysters,ND,NG,<2.5
21,495,Camel,Gentle Jane,SW 938 747,2001-03-27,Mussels,,NG,
,496,Camel,Trebetherick Rocks,SW 924 778,2001-03-27,Mussels,,NG,
26,487,Aberamffra,Barmouth,,2001-04-02,Mussels,ND,NG,ND
27,488,Dwyrdd,Coedy Goffer,SH 579 365,2001-04-02,Cockles,ND,,ND
1,520,Holy Island,Ross Links,NU 123 399,2001-04-09,Mussels,,NG,
4,530,Blakeney,Simpool,TF 990 453,2001-04-10,Mussels,ND,NG,ND
6,504,Blackwater,Thirslet Creek,TL 956 077,2001-04-04,N.Oysters,,NG,
,515,River Thames,Phoenix,TQ 922 825,2001-04-09,Cockles,ND,NG,ND
,516,River Thames,N E Maplin Sands,TR 060 918,2001-04-09,Cockles,ND,NG,ND
,517,River Thames,Buxey No 4,TM 088 021,2001-04-09,Cockles,ND,NG,ND
9,508,Portsmouth,Pewitt Isle,SU 602 411,2001-04-05,N.Oysters,ND,,
13,502,Poole,Ramshorn,SZ 002 882,2001-04-03,Mussels,ND,NG,ND
,532,Plymouth,Shillingham,SX 407 567,2001-04-10,Mussels,ND,NG,ND
18,451,Fowey,Pont Pill,SX 137 516,2001-03-26,Mussels,,,ND
19,531,Fal Estuary,Calamansack,SW 752 266,2001-04-10,N.Oysters,ND,,ND
21,509,Camel,Gentle Jane,SW 938 747,2001-04-05,Mussels,ND,NG,ND
,510,Camel,Trebethrick Rocks,SW 924 778,2001-04-05,Mussels,ND,NG,<2.5
23,529,Three Rivers,Salmon Point,SN 357 073,2001-04-08,Mussels,ND,NG,ND
34,528,Solway,Silloth,NY 100 540,2001-04-10,Mussels,ND,NG,ND
1,596,River Blyth,Factory Point,,2001-04-24,Mussels,ND,NG,ND
5,598,Butley,The Cliff,TM 397 487,2001-04-24,P.Oysters,,NG,
,599,River Alde,Martello Tower,TM 461 550,2001-04-24,Mussels,ND,NG,ND
7,574,River Roach,,,2001-04-23,N.Oysters,ND,NG,ND
