SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCSemiquantResult,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2015/0021,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2015-01-05,2015-01-06,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0022,Roach,B73AF,London PHA,TQ94909207,Paglesham,2015-01-05,2015-01-06,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0023,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2015-01-05,2015-01-06,Mussels,ND,,,17,<RL,<RL,<LOQ,
BTX/2015/0024,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2015-01-05,2015-01-06,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0025,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2015-01-05,2015-01-06,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0026,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2015-01-05,2015-01-06,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0048,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2015-01-06,2015-01-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0049,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2015-01-06,2015-01-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0050,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2015-01-06,2015-01-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0051,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2015-01-06,2015-01-07,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0052,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2015-01-06,2015-01-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0053,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2015-01-06,2015-01-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0068,North Kent Coast,B17AM,Canterbury CC,TR0820065453,Pollard,2015-01-07,2015-01-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0069,Chichester Harbour,B018M,Chichester DC,SU74690448,Emsworth,2015-01-07,2015-01-08,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0070,Yealm,B031J,Plymouth PHA,SX54224904,Thorn,2015-01-07,2015-01-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0090,Blackwater,B014V,Maldon DC,TL912079,Goldhanger,2015-01-12,2015-01-13,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0091,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2015-01-12,2015-01-13,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0092,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2015-01-12,2015-01-13,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0093,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2015-01-12,2015-01-13,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0096,Morecambe Bay - Barrow,B077B,Barrow-in-Furness BC,SD185706,Cocken Tunnel,2015-01-13,2015-01-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0097,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD233647,Roa Island,2015-01-13,2015-01-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0098,Conwy,B044H,Conwy CBC,SH761797,Morfa ,2015-01-13,2015-01-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0099,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar ,2015-01-13,2015-01-14,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0100,Percuil,B033R,Cornwall PHA,SW85853369,Percuil ,2015-01-13,2015-01-14,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0101,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2015-01-13,2015-01-14,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0102,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2015-01-13,2015-01-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0103,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek ,2015-01-13,2015-01-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0104,West Mersea,B13AA,Colchester BC,TM02961224,West Mersea Outfall,2015-01-13,2015-01-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0105,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier ,2015-01-14,2015-01-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0117,Helford,B034W,Cornwall PHA,SW75462765,Porth Navas Quay,2015-01-19,2015-01-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0118,The Wash,B003V,Boston BC,TF44234098,Toft,2015-01-19,2015-01-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0119,Brancaster,B005F,Kings Lynn & West Norfolk BC,TF79364451,Loose-J,2015-01-19,2015-01-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0120,Portsmouth Harbour,B020I,Portsmouth PHA,SU64080370,Tipner Bridge,2015-01-19,2015-01-20,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0121,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2015-01-19,2015-01-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0122,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2015-01-19,2015-01-20,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0123,Swansea,B037G,Swansea PHA,SS63408850,Mumbles (Swansea Bay south),2015-01-19,2015-01-20,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0124,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2015-01-20,2015-01-20,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0135,Duddon,B052D,Barrow-in-Furness BC,SD17067656,Duddon Channel,2015-01-19,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0136,Colne,B012F,Colchester BC,TM06301621,Pyefleet Spit,2015-01-20,2015-01-21,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0137,Camel,B035X,Cornwall CC,SW93427533,Porthilly Cove,2015-01-20,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0138,Blackwater,B14AD,Maldon DC,TM04060768,St Peters Flats ,2015-01-20,2015-01-21,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0139,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2015-01-20,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0140,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2015-01-20,2015-01-21,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0141,Blakeney,B006R,North Norfolk DC,TF91814545,Wells - The Pool,2015-01-20,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0142,Langstone Harbour,B019I,Portsmouth PHA,SU70560339,Stoke Common Lake,2015-01-20,2015-01-21,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0143,Burry Inlet,B038I,City and Council of Swansea,SS5113995645,South East 4,2015-01-20,2015-01-21,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0144,Burry Inlet,B038L,City and Council of Swansea,SS4425695519,Whitford Point ,2015-01-20,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0145,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2015-01-19,2015-01-21,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2015/0154,Dart,B028B,South Hams DC,SX87415599,Waddeton ,2015-01-21,2015-01-22,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
