SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(MGPerKG),ActionRequired
BTX-2018-0001,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2018-01-02,2018-01-03,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0002,Southampton Water,B021Y,Southampton PHA,SU48760530,Hamble Estuary,2018-01-02,2018-01-03,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0007,Beaulieu,B023I,New Forest DC,SU40280013,Landing Stage,2018-01-03,2018-01-04,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0008,Porlock,B094D,West Somerset Council,SS87114786,Porlock East,2018-01-03,2018-01-04,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0015,West Mersea,B13AA,Colchester BC,TM0299212168,West Mersea Outfall,2018-01-04,2018-01-05,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0016,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2018-01-04,2018-01-05,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0022,Fal,B33BD,Cornwall PHA,SW84093949,Trelissick Pontoon,2018-01-08,2018-01-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0023,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2018-01-08,2018-01-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0024,Fal,B033E,Cornwall PHA,SW85134212,Grimes Bar ,2018-01-08,2018-01-09,Native oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0025,Morecambe Bay - East,B047P,Lancaster CC,SD44196535,Bare Ayre East,2018-01-08,2018-01-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0026,Swale,B076P,Swale BC,TR01316497,The Causeway,2018-01-08,2018-01-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2017-0027,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2018-01-08,2018-01-09,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0048,Conwy,B044V,Conwy CBC,SH7630879722,Conwy West,2018-01-09,2018-01-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0049,Menai Strait - East,B055S,Gwynedd CC,SH5833473287,West of Bangor Pier,2018-01-07,2018-01-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0050,Menai Strait - West,B042O,Gwynedd CC,SH49916579,Area 11 East,2018-01-08,2018-01-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0051,Butley,B009E,Suffolk Coastal DC,TM39434850,Pumping Station Outfall,2018-01-09,2018-01-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0052,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier ,2018-01-09,2018-01-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0054,The Fleet,B25AI,Weymouth PHA,SY66477627,Fleet Oysters,2018-01-10,2018-01-10,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0058,Beaulieu,B023I,New Forest DC,SU4028001350,Landing Stage,2018-01-10,2018-01-11,Manila clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0059,Exe,B26BH,Teignbridge DC,SX97948072,Cockwood Harbour,2018-01-10,2018-01-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX-2018-0060,Teign,B27AC,Teignbridge DC,SX92827284,Gas Works East,2018-01-10,2018-01-11,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
