SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(mgPerkg),ActionRequired
BTX/2019/0001,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2019-01-02,2019-10-03,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/0002,Brancaster,B05AS,Kings Lynn & West Norfolk BC,TF7987345401,Norton Creek Mussels,2019-01-02,2019-01-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/0003,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2019-01-02,2019-01-03,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2019/0004,Swansea,B037U,Swansea PHA,SS67659210,Queens Dock,2019-01-02,2019-01-03,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/0008,Colne,B012F,Colchester BC,TM0621716021,Pyefleet Spit,2019-01-03,2019-01-04,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/0009,Roach,B73AF,London PHA,TQ94909207,Paglesham,2019-01-03,2019-01-04,Hard clams,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/0011,Anglesey - Red Wharf Bay,B057J,Ynys Mon CC,SH53148022,Nodwydd,2019-01-03,2019-01-07,Cockles,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/0024,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2019-01-07,2019-01-08,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ,
BTX/2019/0025,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2019-01-07,2019-01-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
BTX/2019/0026,Deben,B010O,Suffolk Coastal DC,TM28834500,Stonner Point,2019-01-07,2019-01-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ,
