SampleNumber,ProductionArea,BedID,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,SpeciesSampled,PSP_HPLCScreenResult(Detected-ND),PSP_HPLC(Microgram_STXeq_per_kg)SemiquantResult_<400->400,PSP_HPLCResult_(Microgram_STXeq_per_kg)HighValueCalculatedFromMU,TotalOA-DTXs-PTXs(Microgram_OA_eq_per_kg)HighValueCalculatedFromMU,TotalAZAS_(Microgram_AZA1_eq_per_kg)HighValueCalculatedFromMU,TotalYTXS(mg_YTX_eq_per_kg)HighValueCalculatedFromMU,ASP(mgPerkg)
BTX/2020/005,West Mersea,B13AG,Colchester BC,TL97441340,Salcott Pacifics,2024-01-07,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/006,Brancaster,B05AS,Kings Lynn & West Norfolk BC,TF79884539,Norton Creek Mussels,2024-01-07,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/007,Southampton Water,B21AT,Southampton PHA,SU48760530,Hamble Estuary,2024-01-07,Manila clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/008,Solent,B24BK,Southampton PHA,SZ57479794,Browndown,2024-01-07,Native oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/009,The Fleet,B25AI,Dorset Council,SY66477627,Fleet Oysters,2024-01-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/010,Lyme Bay,B090V,Dorset Council,SY45918886,Lyme Bay Ensis West,2024-01-07,Razors,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/015,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2024-01-08,Pacific Oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/016,Butley,B009E,East Suffolk Council,TM39434850,Pumping Station Outfall,2024-01-08,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/017,The Wash,B04AP,Kings Lynn & West Norfolk BC,TF65963701,Stubborn Sand,2024-01-08,Cockles,Detected,<400,,<RL,<RL,<RL,<LOQ
BTX/2020/0022,Camel,B35AE,Cornwall CC,SW93407530,Porthilly Rock B,2024-01-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0023,Conwy,B044V,Conwy CBC,SH7630879327,Conwy West,2024-01-08,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0024,Crouch,B015Y,Maldon DC,TQ90429738,Althorne,2024-01-09,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0030,Roach,B73AF,London PHA,TQ94909207,Paglesham,2024-01-10,Hard clams,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0031,Poole,B54CI,Bournemouth Poole Christchurch Council,SZ01818871,West Brownsea 1,2024-01-10,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0034,Silloth,B059L,Allerdale BC,NY10055345,Lees Scar,2024-01-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0035,Deben,B010O,East Suffolk Council,TM28834500,Stonner Point,2024-01-14,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0036,Taw/Torridge,B36AB,Torridge DC,SS46573142,Spratt Ridge East,2024-01-13,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0037,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2024-01-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0038,Porlock,B094D,Somerset West & Taunton Council,SS87114786,Porlock East,2024-01-14,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0044,North Kent Coast,B17BS,Canterbury CC,TR10326689,WOCO Westbeach,2024-01-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0045,The Wash,B003V,Boston BC,TF44234098,Toft,2024-01-15,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0046,Blackwater,B014V,Maldon DC,TL91160795,Goldhanger,2024-01-15,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0055,Morecambe Bay - Barrow,B077R,Barrow-in-Furness BC,SD24916365,Foulney,2024-01-16,Mussels,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0056,Morecambe Bay - Roosebeck,B48AX,Barrow-in-Furness BC,SD25996647,Roosebeck North,2024-01-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0057,West Mersea,B13AA,Colchester BC,TM03101211,West Mersea Outfall,2024-01-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
BTX/2020/0058,The Thames,B16BS,London PHA,TQ88148489,West of Southend Pier,2024-01-16,Pacific oysters,ND,,,<RL,<RL,<RL,<LOQ
