SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,PSPAverageMBAResult,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,DSP_MBAResultPS_NG,DomoicAcid,ActionRequired
BTX/2011/1781,Portland,B25AA,Weymouth PHA,SY69317746,Lyme Bay Shellfish,2011-07-04,2011-07-04,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1799,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-07-04,2011-07-05,Mussels,Detected,<RL,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1800,Menai Strait East,B055D,Gwynedd CC,SH57587302,Bangor,2011-07-04,2011-07-05,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1801,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2011-07-03,2011-07-05,Mussels,ND,,,,,,,,
BTX/2011/1802,The Wash,B003D,Boston BC,TF44403720,Maretail,2011-07-04,2011-07-05,Mussels,Detected,<RL,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1803,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-07-04,2011-07-05,Mussels,Detected,<RL,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1804,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-07-03,2011-07-05,Mussels,Detected,1778,,,,,,,Additional flesh and water samples required
BTX/2011/1805,St. Austell Bay ,B070Y,Cornwall PHA,SX03974945,Ropehaven West,2011-07-04,2011-07-05,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1806,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-07-03,2011-07-05,Mussels,Detected,1713,,,,,,,Additional flesh and water samples required
BTX/2011/1807,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2011-07-04,2011-07-05,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1808,Holy Island-Ross Links,B001O,Northumberland CC,NU12333958,Ross Links,2011-07-04,2011-07-05,Mussels,ND,,,,,,,,
BTX/2011/1809,Camel,B035W,Cornwall CC,SW93427428 ,Porthilly Rock,2011-07-04,2011-07-05,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1810,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2011-07-04,2011-07-05,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1811,The Wash,B004H,Kings Lynn & W Norfolk BC,TF52102890,Breast Sand,2011-07-04,2011-07-05,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1812,West Mersea,B013U,Colchester BC,TM03091222,Mersea Flats,2011-07-04,2011-07-05,Pacific Oysters,,,,,,,,<LOQ,
BTX/2011/1813,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2011-07-03,2011-07-05,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1840,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2011-07-05,2011-07-06,Pacific Oysters,Detected,,ND,<RL,<RL,<RL,,<LOQ,
BTX/2011/1841,Poole,B54BL,Poole BC,SZ01818871,West Brownsea 1,2011-07-05,2011-07-06,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1842,Butley,B009A,Suffolk Coastal DC,TM39704870,Butley Creek,2011-07-05,2011-07-06,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1843,The Wash,B003L,Boston BC,TF47604700,Wrangle,2011-07-05,2011-07-06,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1844,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre,2011-07-05,2011-07-06,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1845,Ravenglass,B053D,Copeland DC,SD08139555,Ravenglass,2011-07-05,2011-07-06,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1847,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-07-05,2011-07-06,Mussels,ND,,,,,,,,
BTX/2011/1848,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-07-05,2011-07-06,Mussels,Detected,949,,,,,,,Additional flesh and water samples required
BTX/2011/1849,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-07-05,2011-07-06,Mussels,Detected,926,,,,,,,Additional flesh and water samples required
BTX/2011/1850,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-07-05,2011-07-06,Native Oysters,Detected,,ND,,,,,,
BTX/2011/1870,Dee,B045X,Flintshire CC,SJ12778573,Mostyn Deep,2011-07-06,2011-07-07,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1871,Ribble,B046C,West Lancashire DC,SD32802590,Point 31,2011-07-06,2011-07-07,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1872,Start Bay,B087C,South Hams DC,SX82634290,Slapton Sands 2,2011-07-06,2011-07-07,Surf Clams,,,ND,,,,NG,<LOQ,
BTX/2011/1873,West Mersea,B013D,Colchester BC,TL99101260,Salcott,2011-07-06,2011-07-07,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1880,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2011-07-11,2011-07-11,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1902,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-07-10,2011-07-12,Mussels,Detected,1918,,,,,,,Additional flesh and water samples requested
BTX/2011/1903,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-07-10,2011-07-12,Mussels,Detected,1763,,,,,,,Additional flesh and water samples requested
BTX/2011/1904,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2011-07-10,2011-07-12,Mussels,Detected,<RL,,,,,,,
BTX/2011/1905,Camel,B035X,Cornwall CC,SW93428533 ,Porthilly Cove,2011-07-11,2011-07-12,Mussels,,,,<RL,<RL,<RL,,,
BTX/2011/1935,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-07-12,2011-07-13,Mussels,Detected,1442,,,,,,,Additional flesh and water samples requested
BTX/2011/1936,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-07-12,2011-07-13,Mussels,Detected,219,,,,,,,
BTX/2011/1937,St. Austell Bay ,B070Y,Cornwall PHA,SX03974945,Ropehaven West,2011-07-12,2011-07-13,Mussels,ND,,,,,,,,
BTX/2011/1938,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-07-12,2011-07-13,Native Oysters,Detected,,ND,,,,,,
BTX/2011/1939,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-07-12,2011-07-13,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1940,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2011-07-12,2011-07-13,Native Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1941,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1942,Taw/Torridge,B036F,North Devon DC,SS47303210,Cool Stone - Instow,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1943,Exe,B026E,Teignbridge DC,SX97808090,Pool,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1944,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1945,Brancaster,B005F,Kings Lynn & W Norfolk BC,TF79364451,Loose J,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1946,Dovey,B041M,Gwynedd CC,SN61429590,Aberdyfi - West,2011-07-12,2011-07-13,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1947,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-07-12,2011-07-13,Mussels,Detected,376,,,,,,,
BTX/2011/1948,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-07-12,2011-07-13,Mussels,Detected,566,,,,,,,
BTX/2011/1961,Yealm,B031F,Plymouth PHA,SX54114882,Thorn,2011-07-13,2011-07-14,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1962,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2011-07-13,2011-07-14,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1963,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2011-07-13,2011-07-14,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1964,Colwyn Bay,B069A,Conwy CBC,SH83208150,Rhos on Sea,2011-07-13,2011-07-14,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1965,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2011-07-13,2011-07-14,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1966,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2011-07-13,2011-07-14,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1967,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2011-07-13,2011-07-14,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1968,The Wash,B004O,Kings Lynn & W Norfolk BC,TF65803700,Heacham South,2011-07-13,2011-07-14,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1969,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2011-07-13,2011-07-14,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/1970,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2011-07-13,2011-07-14,Pacific Oysters,ND,,,,,,,,
BTX/2011/1981,Dart,B028F,South Hams DC,SX87415599,Waddeton,2011-07-14,2011-07-15,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2001,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-07-17,2011-07-19,Mussels,Detected,1318,,,,,,,Additional flesh and water samples requested
BTX/2011/2002,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-07-17,2011-07-19,Mussels,Detected,986,,,,,,,Additional flesh and water samples requested
BTX/2011/2003,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2011-07-17,2011-07-19,Mussels,ND,,,,,,,,
BTX/2011/2004,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-07-18,2011-07-19,Mussels,Detected,<RL,,,,,,,
BTX/2011/2005,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-07-18,2011-07-19,Mussels,Detected,<RL,,,,,,,
BTX/2011/2006,Three Rivers,B071E,Carmarthenshire CC,SN35700730,St Ishmaels,2011-07-18,2011-07-19,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2007,Three Rivers,B071F,Carmarthenshire CC,SN37500640,Gwendraeth,2011-07-18,2011-07-19,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2008,Burry Inlet,B038B,Carmarthenshire CC,SS48009950,North (West),2011-07-18,2011-07-19,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2009,West Mersea,B013U,Colchester BC,TM03091222,Mersea Flats,2011-07-18,2011-07-19,Pacific Oysters,ND,,,<RL,<RL,<RL,,1.2,
BTX/2011/2010,Blackwater,B014D,Maldon DC,TL92500770,Goldhanger,2011-07-18,2011-07-19,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2011,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2011-07-19,2011-07-19,Pacific Oysters,ND,,,,,,,,
BTX/2011/2032,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan,2011-07-19,2011-07-20,Mussels,Detected,236,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2033,Fal,B033Z,Cornwall PHA,SW84093878,T Pontoon,2011-07-19,2011-07-20,Mussels,Detected,575,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2034,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2011-07-19,2011-07-20,Native Oysters,Detected,,ND,<RL,<RL,<RL,,<LOQ,
BTX/2011/2035,Helford,B034P,Cornwall PHA,SW77252652,Bosahan,2011-07-19,2011-07-20,Pacific Oysters,Detected,,ND,,,,,,
BTX/2011/2036,Teign,B027G,Teignbridge DC,SX92737273,Gasworks Bank,2011-07-19,2011-07-20,Mussels,ND,,,,,,,,
BTX/2011/2037,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2011-07-19,2011-07-20,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2038,Holy Island-Ross Links,B001O,Northumberland CC,NU12333958,Ross Links,2011-07-18,2011-07-20,Mussels,ND,,,,,,,,
BTX/2011/2039,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2011-07-19,2011-07-20,Mussels,ND,,,,,,,,
BTX/2011/2040,Silloth,B059L,Allerdale DC,NY10055345,Lees Scar,2011-07-19,2011-07-20,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2041,Morecambe Bay - Barrow,B077D,Barrow-in-Furness BC,SD23306470,Roa Island,2011-07-19,2011-07-20,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2042,Dee,B045M,Wirral BC,SJ20708550,West Kirby - Tells Tower,2011-07-19,2011-07-20,Cockles,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2043,Swale,B076A,Swale BC,TQ97006640,River Swale #1,2011-07-19,2011-07-20,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2068,Menai Strait East,B055D,Gwynedd CC,SH57587302,Bangor,2011-07-20,2011-07-21,Mussels,ND,,,,,,,,
BTX/2011/2069,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2011-07-20,2011-07-21,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2070,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2011-07-20,2011-07-21,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2071,St. Ives Bay,B088G,Cornwall PHA,SW54323928,St. Ives Central,2011-07-20,2011-07-21,Razors,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2072,Southampton Water,B021X,Southampton PHA,SU47780564,Hamble,2011-07-19,2011-07-21,Manila Clams,,,ND,,,,NG,<LOQ,
BTX/2011/2073,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2011-07-20,2011-07-21,Cockles,ND,,,,,,,,
BTX/2011/2096,Alde/Ore,B008D,Suffolk Coastal DC,TM46055446,Home Reach,2011-07-25,2011-07-26,Pacific Oysters,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2097,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2011-07-25,2011-07-26,Mussels,ND,,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2098,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill No 34,2011-07-25,2011-07-26,Mussels,Detected,<RL,,<RL,<RL,<RL,,<LOQ,
BTX/2011/2099,St. Ives Bay,B088G,Cornwall PHA,SW54323928,St. Ives Central,2011-07-25,2011-07-26,Razors,ND,,,<RL,<RL,<RL,,,
BTX/2011/2100,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2011-07-24,2011-07-26,Mussels,Detected,607,,,,,,,
BTX/2011/2101,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2011-07-24,2011-07-26,Mussels,Detected,725,,,,,,,
