SampleNumber,NameofSite,NameOfBed,LocalAuthority,GridReference,BedId,DateSampleArrivedAtBurnham,DateSampleArrivedAtWeymouth,DateSampleCollected,SpeciesSampled,PSPResult_STX_Equivalent,DSPResultPositive_Negative,DomoicAcid
BTX/2001/0034,Camel,Town Bar A,N Cornwall DC,SW92307515,B035G,,,2001-05-31,Cockles,ND,Negative,*
BTX/2001/0035,Camel,Ironbridge,N Cornwall DC,SW92707424,B035H,,,2001-05-31,Cockles,ND,Negative,*
BTX/2001/0036,Camel,Little Petherick Creek,N Cornwall DC,SW92387395,B035K,,,2001-05-31,Cockles,ND,Negative,*
BTX/2001/0037,The Thames,Phoenix,London PHA,TQ92208250,B16BR,,,2001-06-04,Cockles,ND,Positive,<LOD
BTX/2001/0038,The Thames,Buxey No. 5,London PHA,TM08800210,B16BQ,,,2001-06-04,Cockles,ND,Negative,<LOD
BTX/2001/0039  ,Dwyryd estuary,Dwyryd estuary,Gwynedd Council,SH579365,B074B,,,2001-06-04,Cockles,ND,Negative,<LOD
BTX/2001/0040,St Ives Bay,Godrevy Cove,Penwith DC,SW58134283,B088B,,,2001-06-04,Mussels,ND,Negative,<LOD
BTX/2001/0041,The Wash,Maretail,Boston BC,TF439377,B003D,,,2001-06-04,Mussels,ND,Negative,<LOD
BTX/2001/0042,The Thames,NE Maplin Sands,London PHA,TR06009180,B16BI,,,2001-06-04,Cockles,ND,Positive,<LOD
BTX/2001/0043,Crouch,Purleigh Shawl,Maldon DC,TQ866965,B015D,,,2001-06-04,Mussels,ND,Negative,<LOD
BTX/2001/0044,St Ives Bay,Carrack Gladden,Penwith DC,SW53403880,B088E,,,2001-06-04,Mussels,ND,Negative,<LOD
BTX/2001/0045,Yealm,Yealm,Plymouth PHA,SX544$94,B031E,,,2001-06-04,Mussels,ND,Negative,<LOD
BTX/2001/0046,Milford Haven,Coedcanlas Spit,Pembrokeshire CC,SN001086,B039H,,,2001-06-04,Mussels,ND,Negative,<LOD
BTX/2001/0047,Milford Haven,Lawrenny Quay,Pembrokeshire CC,SN010062,,,,2001-06-04,Mussels,ND,Negative,<LOD
BTX/2001/0048,Ramshorn,Ramshorn,Poole BC,SZ002882,B054L,,,2001-06-05,Mussels,ND,Negative,<LOD
BTX/2001/0049,The Wash,Stylemans,Kings Lynn DC,TF602342,B004F,,,2001-06-05,Mussels,ND,Negative,<LOD
BTX/2001/0050,Camel,Trebetherick Rocks,N Cornwall DC,SW92417788,B035J,,,2001-06-05,Mussels,ND,Negative,*
