SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_ScreenResult_PS_NG,PSP_HPLC_ResultHighValueCalculatedFromMethodUncertainty,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired
BTX/2008/1674,Portland,B025A,Weymouth PHA,SY66277626,Fleet Oyster Farm,2008-06-02,2008-06-02,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1675,Holy Island-Ross Links,B001O,Berwick upon Tweed BC,NU12333958,Ross Links,2008-06-02,2008-06-03,Mussels,PS,195,,,,,Follow Up sample requested
BTX/2008/1676,Holy Island-Ross Links,B001M,Berwick upon Tweed BC,NU12333958,Ross Links,2008-06-02,2008-06-03,Pacific Oysters,PS,,ND,,,,Follow Up sample requested
BTX/2008/1677,Milford Haven,B39AF,Pembrokeshire CC,SM89400210,Roscrowther/Kilpaison,2008-06-02,2008-06-03,Cockles,NG,,,,,,
BTX/2008/1678,Yealm,B031F,Plymouth PHA,SX54104883,Thorn,2008-06-02,2008-06-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1679,Blackwater,B014H,Maldon DC,TM05000000,Ray Sands,2008-06-02,2008-06-03,Mussels,NG,,,,,<RL,
BTX/2008/1680,Roach,B073C,London PHA,TQ95699247,Paglesham Reach,2008-06-02,2008-06-03,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1681,Swansea,B037I,City and Council of Swansea,SS62908930,Swansea Bay S,2008-06-02,2008-06-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1682,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2008-06-02,2008-06-03,Cockles,,,,,,<RL,
BTX/2008/1683,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2008-06-02,2008-06-03,Mussels,,,,,,<RL,
BTX/2008/1684,Salcombe,B029D,South Hams DC,SX75554148,Geese Quarries,2008-06-02,2008-06-03,Pacific Oysters,NG,,,,NEGATIVE,<RL,Follow Up sample requested
BTX/2008/1685,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2008-06-02,2008-06-03,Pacific Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1686,North Kent Coast,B17BL,Canterbury CC,TR08206690,Pollard,2008-06-02,2008-06-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1687,Helford,B034A,Falmouth and Truro PHA,SW75282664,Calamansack Bar,2008-06-02,2008-06-03,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1688,Lymington River,B24AF,New Forest DC,SZ34809375,No 3 Post,2008-06-02,2008-06-03,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1689,Exe,B26AT,East Devon DC,SX99698050,Beacon Point,2008-06-02,2008-06-03,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1715,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2008-06-03,2008-06-04,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/1716,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2008-06-03,2008-06-04,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/1717,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2008-06-03,2008-06-04,Cockles,NG,,,,NEGATIVE,<RL,
BTX/2008/1718,Milford Haven,B039H,Pembrokeshire CC,SN00100860,Coedcanlas Spit,2008-06-03,2008-06-04,Mussels,NG,,,,,,
BTX/2008/1719,Milford Haven,B39CM,Pembrokeshire CC,SN01000620,Lawrenny Quay,2008-06-03,2008-06-04,Mussels,NG,,,,,,
BTX/2008/1720,Dart,B028F,South Hams DC,SX87415599,Waddeton,2008-06-03,2008-06-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1721,West Mersea,B013F,Maldon DC,TL98611115,Tollesbury North,2008-06-03,2008-06-04,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1722,Poole,B054P,Poole BC,SY99448968,Hamworthy,2008-06-03,2008-06-04,Mussels,NG,,,,,,
BTX/2008/1723,Camel,B035J,North Cornwall DC,SW92517775,Trebetherick Rocks,2008-06-03,2008-06-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1724,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2008-06-03,2008-06-04,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1725,Colne,B012F,Colchester BC,TM06201600,Pyefleet Spit,2008-06-03,2008-06-04,Pacific Oysters,NG,,,,,,
BTX/2008/1749,Plymouth,B32AD,Plymouth PHA,SX41875721,East of Ajax,2008-06-04,2008-06-05,Mussels,NG,,,,NEGATIVE,<RL,
BTX/2008/1750,Chichester Harbour,B018E,Havant BC,SU74600050,Mill Rythe,2008-06-04,2008-06-05,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1751,Chichester Harbour,B018C,Chichester DC,SU78400160,Chichester Channel,2008-06-04,2008-06-05,Native Oysters,NG,,,,NEGATIVE,<RL,
BTX/2008/1771,Burry Inlet,B038L,City and Council of Swansea,SS43409470,Whitford Point,2008-06-09,2008-06-10,Mussels,NG,,,,NG,<RL,
BTX/2008/1772,Burry Inlet,B038T,City and Council of Swansea,SS44409730,Whitford Point,2008-06-09,2008-06-10,Cockles,NG,,,,NG,<RL,
BTX/2008/1773,Liverpool Bay - Wirral,B058D,Mersey PHA,SJ25009200,Leasowe Lighthouse,2008-06-09,2008-06-10,Mussels,NG,,,,NG,<RL,
