SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLCScreenResult_Detected_ND,PSP_HPLCResultHighValueCalculatedFromMU,TotalOA_DTXs_PTXsHighValueCalculatedFromMU,TotalAZAsHighValueCalculatedFromMU,TotalYTXsHighValueCalculatedFromMU,ASP,ActionRequired
BTX/2012/1499,Portland,B25AA,Weymouth PHA,SY6925477458,Lyme Bay Shellfish,2012-05-28,2012-05-28,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1517,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2012-05-28,2012-05-29,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1518,Milford Haven,B39CM,Pembrokeshire CC,SN010062,Lawrenny Quay,2012-05-27,2012-05-29,Mussels,ND,,,,,,
BTX/2012/1519,Milford Haven,B39CO,Pembrokeshire CC,SM88770325,Sawdern Point,2012-05-27,2012-05-29,Mussels,ND,,,,,,
BTX/2012/1520,Milford Haven,B039H,Pembrokeshire CC,SN001086,Coedcanlas Spit,2012-05-27,2012-05-29,Mussels,ND,,,,,,
BTX/2012/1521,Fal,B033Z,Cornwall PHA,SW84073879,T Pontoon,2012-05-28,2012-05-29,Mussels,ND,,,,,,
BTX/2012/1522,Fal,B033Y,Cornwall PHA,SW85024095,R Pontoon/Tregothnan ,2012-05-28,2012-05-29,Mussels,Detected,<RL,,,,,
BTX/2012/1523,Fal,B33BG,Cornwall PHA,SW82803517,Mylor Pool,2012-05-28,2012-05-29,Native oysters,ND,,,,,,
BTX/2012/1524,Swale,B076A,Swale BC,TQ97136631,Swale BC/1 ,2012-05-28,2012-05-29,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1555,Poole,B54CL,Poole BC,SZ01818871,West Brownsea 1,2012-05-29,2012-05-30,Mussels,ND,,,,,,
BTX/2012/1556,Morecambe Bay - East,B047A,Lancaster CC,SD44306530,Bare Ayre ,2012-05-29,2012-05-30,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1577,Bigbury and Avon,B030B,South Hams DC,SX67174481,West Bank,2012-05-30,2012-05-31,Pacific oysters,ND,,,,,,
BTX/2012/1578,Fowey,B70AB,Cornwall PHA,SX13025157,Pont Pill,2012-05-30,2012-05-31,Mussels,ND,,,,,,
BTX/2012/1579,Fowey,B070Z,Cornwall PHA,SX12595313,Wisemans,2012-05-30,2012-05-31,Mussels,ND,,,,,,
BTX/2012/1580,St. Austell Bay,B70AE,Cornwall PHA,SX05744972,Ropehaven Outer,2012-05-30,2012-05-31,Mussels,Not tested,,Not tested,Not tested,Not tested,Not tested,
BTX/2012/1647,Holy Island - Ross Links,B001M,Northumberland CC,NU12333958,Ross Links,2012-06-06,2012-06-07,Pacific oysters,ND,,89,<RL,<RL,<LOQ,
BTX/2012/1650,Taw/Torridge,B036N,Torridge DC,SS45953106,Appledore Lifeboat Slipway ,2012-06-06,2012-06-07,Mussels,,,<RL,<RL,<RL,,
BTX/2012/1645,Blackwater,B014D,Maldon DC,TL925077,Goldhanger ,2012-06-06,2012-06-07,Pacific oysters,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1648,Exe,B026E,Teignbridge DC,SX97848089,Pool,2012-06-06,2012-06-07,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1649,Teign,B027G,Teignbridge DC,SX92747281,Gas Works ,2012-06-06,2012-06-07,Mussels,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1651,The Thames,B16BR,London PHA,TQ93798271,Phoenix,2012-06-06,2012-06-07,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1652,The Thames,B16AF,London PHA,TR12929919,Foulness Sands,2012-06-06,2012-06-07,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1653,The Thames,B16AK,London PHA,TR01198614,Maplin Sands West,2012-06-06,2012-06-07,Cockles,ND,,<RL,<RL,<RL,<LOQ,
BTX/2012/1657,Three Rivers,B071E,Carmarthenshire CC,SN357073,St Ishmaels ,2012-06-07,2012-06-08,Mussels,,,,,,<LOQ,
